14,72,1,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,SITE,CMJ-25,,CMJ-26,,CMJ-43,,CMJ-65,,CMJ-68,,CMJ-77,,CMJ-116,,CMJ-123,,CMJ-134,,CMJ-206,,CMJ-214,,CMJ-230,,CMJ-231,,CMJ-241,,,X,Y
LTA57,LT,274,274,405,405,335,335,370,370,357,357,342,342,217,226,217,226,220,223,409,409,345,372,164,179,392,392,350,350,,58.0,13
LTA58,LT,274,280,403,405,335,335,361,370,357,357,339,342,217,211,226,229,214,220,409,409,345,372,164,173,392,392,350,350,,63.0,6
LTA59,LT,274,274,405,405,335,335,370,370,357,357,330,342,217,232,232,253,220,223,406,409,345,372,164,176,383,392,350,350,,61.0,25
LTA60,LT,274,276,403,405,335,338,370,370,357,357,330,342,217,211,217,220,220,223,409,409,345,372,164,164,392,392,350,356,,70.0,21
LTA61,LT,276,278,405,407,335,335,370,370,357,357,342,342,229,211,217,229,211,211,403,409,372,378,164,176,389,392,350,359,,70.0,25
LTA62,LT,274,274,401,403,335,335,370,370,357,369,342,342,217,211,214,217,214,223,403,403,345,372,164,179,392,395,350,350,,83.0,7
LTA63,LT,274,274,401,405,335,335,370,370,348,357,336,342,217,211,220,226,214,220,406,409,345,372,176,176,392,392,350,353,,89.0,20
LTA64,LT,274,274,403,407,335,335,370,370,357,357,342,345,217,211,214,214,223,223,409,409,345,372,176,176,386,395,350,350,,87.0,9
LTA65,LT,274,278,403,405,335,335,370,370,348,357,342,342,232,211,217,253,214,214,400,403,345,372,164,176,392,392,353,359,,87.0,9
LTA66,LT,274,274,403,405,335,335,370,370,357,357,342,342,214,211,217,217,211,211,400,409,345,372,164,164,392,392,350,350,,44.0,4
LTA67,LT,274,274,405,405,335,335,370,370,351,357,330,339,232,238,226,253,220,223,400,409,345,372,176,176,392,395,359,350,,92.0,16
LTA68,LT,274,274,405,405,332,335,370,370,357,360,342,342,214,229,214,217,202,202,412,415,387,387,191,191,401,410,365,368,,80.0,28
LTA69,LT,274,274,405,405,332,335,370,370,357,360,342,342,214,229,214,217,202,217,397,400,345,372,176,176,383,392,350,353,,80.0,28
LTA70,LT,274,274,403,405,335,338,370,370,357,375,342,342,226,232,220,229,223,226,400,409,345,372,164,164,389,392,350,350,,80.0,28
LTA71,LT,274,276,403,405,335,335,370,370,357,357,342,342,226,232,229,232,214,223,409,409,345,363,164,176,383,392,350,359,,60,18
LTA72,LT,274,274,405,407,335,335,370,370,357,357,342,348,217,232,217,217,214,223,400,406,345,372,164,164,392,392,350,359,,64.0,3
