1,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTA1,LTA2,LTA3,LTA4,LTA5,LTA6,LTA7,LTA8,LTA9,LTA10,LTA11,LTA12,LTA13,LTA14,LTA15,LTA16,LTA17,LTA18,LTA19,LTA20,LTA21,LTA22,LTA23,LTA24,LTA25,LTA26,LTA27,LTA28,LTA29,LTA30,LTA31,LTA32,LTA33,LTA34,LTA35,LTA36,LTA37,LTA38,LTA39,LTA40,LTA41,LTA42,LTA43,LTA44,LTA45,LTA46,LTA47,LTA48,LTA49,LTA50,LTA51,LTA52,LTA53,LTA54,LTA55,LTA56,LTA57,LTA58,LTA59,LTA60,LTA61,LTA62,LTA63,LTA64,LTA65,LTA66,LTA67,LTA68,LTA69,LTA70,LTA71,LTA72,
60.531,59.304,55.082,52.038,51.478,49.041,44.102,45.177,50.040,42.012,38.053,46.390,40.608,36.222,36.222,36.222,49.497,59.034,45.880,39.560,32.140,30.676,30.676,30.676,30.676,30.676,34.059,10.440,24.042,30.067,17.692,26.401,27.893,20.396,14.318,14.318,14.318,29.732,18.028,11.402,11.402,11.402,7.071,16.553,16.553,16.553,16.553,17.029,10.817,17.464,14.036,0.000,,,,,,,,,,,,,,,,,,,,,LTA52
60.531,59.304,55.082,52.038,51.478,49.041,44.102,45.177,50.040,42.012,38.053,46.390,40.608,36.222,36.222,36.222,49.497,59.034,45.880,39.560,32.140,30.676,30.676,30.676,30.676,30.676,34.059,10.440,24.042,30.067,17.692,26.401,27.893,20.396,14.318,14.318,14.318,29.732,18.028,11.402,11.402,11.402,7.071,16.553,16.553,16.553,16.553,17.029,10.817,17.464,14.036,0.000,0.000,,,,,,,,,,,,,,,,,,,,LTA53
60.531,59.304,55.082,52.038,51.478,49.041,44.102,45.177,50.040,42.012,38.053,46.390,40.608,36.222,36.222,36.222,49.497,59.034,45.880,39.560,32.140,30.676,30.676,30.676,30.676,30.676,34.059,10.440,24.042,30.067,17.692,26.401,27.893,20.396,14.318,14.318,14.318,29.732,18.028,11.402,11.402,11.402,7.071,16.553,16.553,16.553,16.553,17.029,10.817,17.464,14.036,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,LTA54
60.531,59.304,55.082,52.038,51.478,49.041,44.102,45.177,50.040,42.012,38.053,46.390,40.608,36.222,36.222,36.222,49.497,59.034,45.880,39.560,32.140,30.676,30.676,30.676,30.676,30.676,34.059,10.440,24.042,30.067,17.692,26.401,27.893,20.396,14.318,14.318,14.318,29.732,18.028,11.402,11.402,11.402,7.071,16.553,16.553,16.553,16.553,17.029,10.817,17.464,14.036,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,LTA55
85.475,84.291,80.100,77.006,76.420,74.061,69.029,70.178,75.007,67.030,63.071,71.176,65.490,61.074,61.074,61.074,74.243,84.006,70.036,64.133,57.140,55.109,55.109,55.109,55.109,55.109,59.008,15.133,48.662,55.009,19.105,50.448,52.345,45.277,39.051,39.051,39.051,53.759,42.297,30.463,30.463,30.463,30.265,40.792,40.792,40.792,40.792,42.048,20.616,9.434,11.180,25.020,25.020,25.020,25.020,0.000,,,,,,,,,,,,,,,,,LTA56
52.773,51.478,47.170,44.011,43.738,41.110,36.056,37.336,42.012,34.059,30.150,38.328,32.985,28.160,28.160,28.160,41.437,51.010,37.947,32.311,24.331,23.707,23.707,23.707,23.707,23.707,26.019,18.111,17.000,22.023,24.413,20.000,19.925,13.000,6.325,6.325,6.325,21.932,10.296,13.000,13.000,13.000,5.000,10.630,10.630,10.630,10.630,9.220,16.125,25.495,22.091,8.062,8.062,8.062,8.062,33.000,0.000,,,,,,,,,,,,,,,,LTA57
59.203,57.723,53.151,49.366,50.289,47.074,41.304,43.681,47.381,40.025,36.401,43.046,39.925,33.242,33.242,33.242,46.011,56.321,41.304,39.825,31.016,31.623,31.623,31.623,31.623,31.623,31.575,13.928,25.000,27.659,25.807,28.320,24.021,20.809,12.083,12.083,12.083,25.080,14.142,19.000,19.000,19.000,3.606,19.209,19.209,19.209,19.209,16.643,9.055,23.324,19.235,8.544,8.544,8.544,8.544,28.862,8.602,0.000,,,,,,,,,,,,,,,LTA58
55.082,54.231,50.636,48.765,46.174,44.911,41.437,40.608,46.840,38.328,34.205,44.385,35.228,34.438,34.438,34.438,47.539,55.543,45.793,33.000,28.160,24.021,24.021,24.021,24.021,24.021,31.780,20.518,18.439,28.178,17.117,19.000,28.425,16.553,16.643,16.643,16.643,31.145,20.809,2.000,2.000,2.000,16.000,10.770,10.770,10.770,10.770,15.620,22.825,23.087,21.471,12.083,12.083,12.083,12.083,32.311,12.369,19.105,0.000,,,,,,,,,,,,,,LTA59
64.008,63.008,59.135,56.719,55.000,53.235,49.031,49.092,54.745,46.390,42.297,51.662,44.000,41.485,41.485,41.485,54.818,63.640,52.000,42.190,36.222,33.136,33.136,33.136,33.136,33.136,39.051,11.662,27.000,35.171,10.000,28.284,34.015,24.187,20.591,20.591,20.591,36.235,24.698,8.062,8.062,8.062,15.000,19.000,19.000,19.000,19.000,21.840,16.125,13.342,11.662,8.062,8.062,8.062,8.062,22.472,14.422,16.553,9.849,0.000,,,,,,,,,,,,,LTA60
64.070,63.198,59.540,57.489,55.145,53.759,50.000,49.497,55.543,47.074,42.953,52.811,44.181,42.720,42.720,42.720,55.973,64.327,53.666,42.000,36.878,33.015,33.015,33.015,33.015,33.015,40.162,15.232,27.295,36.401,8.246,28.000,35.847,25.000,22.804,22.804,22.804,38.275,27.019,7.000,7.000,7.000,18.358,19.416,19.416,19.416,19.416,23.259,20.100,14.765,14.142,11.705,11.705,11.705,11.705,24.187,16.971,20.248,9.000,4.000,0.000,,,,,,,,,,,,LTA61
78.447,77.104,72.691,69.181,69.426,66.611,61.131,62.968,67.186,59.540,55.731,63.008,58.694,53.085,53.085,53.085,66.000,76.164,61.294,57.871,50.010,49.041,49.041,49.041,49.041,49.041,51.245,8.062,42.379,47.265,20.616,44.777,44.000,38.601,31.257,31.257,31.257,45.100,34.015,26.907,26.907,26.907,22.091,34.928,34.928,34.928,34.928,34.928,11.180,11.000,8.544,18.385,18.385,18.385,18.385,10.000,25.710,20.025,28.425,19.105,22.204,0.000,,,,,,,,,,,LTA62
83.024,82.000,78.058,75.425,74.007,72.111,67.602,68.029,73.437,65.192,61.131,70.036,63.008,59.841,59.841,59.841,73.164,82.389,69.642,61.205,55.082,52.154,52.154,52.154,52.154,52.154,57.559,15.811,46.011,53.600,13.038,47.265,51.662,43.046,38.079,38.079,38.079,53.451,41.761,26.476,26.476,26.476,30.083,38.013,38.013,38.013,38.013,40.311,22.672,6.325,10.296,23.770,23.770,23.770,23.770,7.280,31.780,29.530,28.443,19.026,19.647,14.318,0.000,,,,,,,,,,LTA63
82.037,80.753,76.420,73.062,72.993,70.349,65.031,66.611,71.063,63.285,59.414,67.007,62.169,57.009,57.009,57.009,70.029,80.056,65.490,61.131,53.600,52.202,52.202,52.202,52.202,52.202,55.082,11.180,45.607,51.088,20.125,47.760,48.042,41.976,35.057,35.057,35.057,49.254,38.013,28.844,28.844,28.844,26.000,37.947,37.947,37.947,37.947,38.471,15.524,9.849,9.220,21.587,21.587,21.587,21.587,5.657,29.275,24.187,30.529,20.809,23.345,4.472,11.180,0.000,,,,,,,,,LTA64
82.037,80.753,76.420,73.062,72.993,70.349,65.031,66.611,71.063,63.285,59.414,67.007,62.169,57.009,57.009,57.009,70.029,80.056,65.490,61.131,53.600,52.202,52.202,52.202,52.202,52.202,55.082,11.180,45.607,51.088,20.125,47.760,48.042,41.976,35.057,35.057,35.057,49.254,38.013,28.844,28.844,28.844,26.000,37.947,37.947,37.947,37.947,38.471,15.524,9.849,9.220,21.587,21.587,21.587,21.587,5.657,29.275,24.187,30.529,20.809,23.345,4.472,11.180,0.000,0.000,,,,,,,,LTA65
42.048,40.311,35.468,31.048,33.615,29.547,23.087,26.926,29.120,22.825,20.000,24.331,24.759,15.232,15.232,15.232,27.166,37.855,22.204,26.401,16.401,21.190,21.190,21.190,21.190,21.190,14.422,32.757,17.029,11.314,41.049,21.095,5.831,14.142,10.630,10.630,10.630,6.000,6.403,28.320,28.320,28.320,17.720,18.385,18.385,18.385,18.385,12.083,28.018,41.437,37.643,24.166,24.166,24.166,24.166,47.854,16.643,19.105,27.019,31.064,33.422,39.115,47.760,43.290,43.290,0.000,,,,,,,LTA66
86.209,85.094,81.006,78.102,77.162,75.000,70.178,71.028,76.105,68.007,64.000,72.443,66.189,62.290,62.290,62.290,75.538,85.094,71.589,64.630,58.009,55.579,55.579,55.579,55.579,55.579,60.133,16.763,49.254,56.143,17.804,50.804,53.759,46.043,40.311,40.311,40.311,55.317,43.738,30.364,30.364,30.364,31.780,41.304,41.304,41.304,41.304,43.012,22.825,9.220,12.042,26.077,26.077,26.077,26.077,3.162,34.132,30.676,32.280,22.561,23.770,12.728,5.000,8.602,8.602,49.477,0.000,,,,,,LTA67
74.243,73.437,69.871,67.912,65.376,64.133,60.440,59.841,65.970,57.489,53.367,63.246,54.452,53.141,53.141,53.141,66.408,74.733,63.977,52.086,47.297,43.186,43.186,43.186,43.186,43.186,50.596,17.464,37.656,46.819,2.236,38.118,46.065,35.440,32.757,32.757,32.757,48.374,36.892,17.263,17.263,17.263,26.870,29.833,29.833,29.833,29.833,33.615,24.352,10.440,13.000,19.799,19.799,19.799,19.799,18.601,26.627,27.803,19.235,12.207,10.440,21.213,12.042,20.248,20.248,43.267,16.971,0.000,,,,,LTA68
