1,73,1,73,1,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Codominant Genotypic Distance,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGC1,ZGC2,ZGC3,ZGC4,ZGC5,ZGC6,ZGC7,ZGC8,ZGC9,ZGC10,ZGC11,ZGC12,ZGC13,ZGC14,ZGC15,ZGC16,ZGC17,ZGC18,ZGC19,ZGC20,ZGC21,ZGC22,ZGC23,ZGC24,ZGC25,ZGC26,ZGC27,ZGC28,ZGC29,ZGC30,ZGC31,ZGC32,ZGC33,ZGC34,ZGC35,ZGC36,ZGC37,ZGC38,ZGC39,ZGC40,ZGC41,ZGC42,ZGC43,ZGC44,ZGC45,ZGC46,ZGC47,ZGC48,ZGC49,ZGC50,ZGC51,ZGC52,ZGC53,ZGC54,ZGC55,ZGC56,ZGC57,ZGC58,ZGC59,ZGC60,ZGC61,ZGC62,ZGC63,ZGC64,ZGC65,ZGC66,ZGC67,ZGC68,ZGC69,ZGC70,ZGC71,ZGC72,ZGC73,
13,15,10,27,16,20,8,13,17,15,14,17,18,16,15,15,24,12,17,8,15,13,21,12,10,15,14,10,11,11,12,13,23,15,19,14,16,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC39
14,16,8,23,15,18,11,13,16,12,10,22,20,16,15,14,24,14,23,12,16,18,20,12,12,16,16,16,18,18,10,14,26,12,13,15,24,19,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC40
15,20,16,27,24,19,15,17,23,20,19,21,22,14,9,18,30,14,19,15,17,17,24,16,16,19,10,19,16,16,22,13,22,17,12,18,13,18,19,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC41
17,22,20,23,22,23,21,19,25,22,24,20,27,27,20,24,30,19,23,26,21,22,29,23,28,27,16,26,22,22,28,23,21,23,24,23,24,26,25,27,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC42
14,21,18,25,28,19,16,12,28,15,20,18,21,19,11,20,29,14,20,19,22,9,20,13,17,22,11,16,12,12,20,16,28,15,19,17,15,20,14,23,14,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC43
12,16,5,26,17,20,8,12,17,12,9,19,20,16,13,10,22,9,19,12,10,14,23,11,13,16,10,12,17,17,14,13,22,11,13,16,17,18,10,10,16,21,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC44
14,23,16,31,26,20,14,12,23,17,17,20,21,21,9,22,30,15,18,19,25,10,26,15,17,22,13,12,16,16,17,13,26,17,20,14,14,22,13,22,14,21,7,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC45
15,18,14,22,21,15,14,14,23,17,16,15,12,13,12,15,25,16,26,13,13,14,16,13,12,13,12,17,13,13,17,14,25,14,17,19,22,12,15,16,15,23,14,13,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC46
15,21,15,29,26,19,15,12,21,14,12,20,15,21,10,18,22,13,19,21,21,9,22,12,15,20,15,9,17,17,17,13,20,14,20,13,17,15,14,20,18,25,14,14,8,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC47
16,20,16,21,18,14,15,15,23,18,17,13,15,16,12,19,27,20,22,11,23,14,17,15,14,12,13,17,11,11,13,12,28,17,21,19,16,19,14,19,14,24,14,20,14,12,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC48
11,16,7,26,18,15,9,11,18,17,12,16,16,13,11,10,22,16,21,11,11,9,22,11,10,10,10,11,14,14,10,16,23,8,18,15,20,14,10,13,17,21,13,8,13,10,12,15,0,,,,,,,,,,,,,,,,,,,,,,,,,ZGC49
11,18,15,23,26,15,12,8,24,13,14,16,15,16,10,20,26,10,15,17,20,5,16,11,14,19,11,12,12,12,17,11,23,12,20,12,13,17,12,19,15,19,7,15,6,12,8,13,10,0,,,,,,,,,,,,,,,,,,,,,,,,ZGC50
16,23,8,25,20,13,13,13,19,14,14,18,18,14,11,13,26,14,19,11,15,12,20,6,12,14,10,17,18,18,14,14,23,6,19,17,14,15,14,13,12,21,16,10,15,11,14,14,8,10,0,,,,,,,,,,,,,,,,,,,,,,,ZGC51
14,16,12,31,23,22,13,14,19,18,13,22,21,15,15,16,29,14,20,20,13,16,23,16,13,18,17,15,16,16,14,18,20,12,16,16,23,20,12,12,19,28,22,11,21,18,18,24,12,18,15,0,,,,,,,,,,,,,,,,,,,,,,ZGC52
13,15,10,27,16,16,9,13,18,18,13,18,15,12,12,14,21,14,20,9,11,12,20,12,9,15,14,10,14,14,12,13,24,12,18,14,17,16,6,13,17,24,15,10,14,11,12,15,6,11,10,12,0,,,,,,,,,,,,,,,,,,,,,ZGC53
10,15,9,26,18,23,6,12,14,14,11,18,17,17,13,13,21,12,16,12,13,13,22,16,14,15,13,10,15,15,12,14,20,13,18,12,18,19,10,13,17,22,17,10,15,17,14,18,9,13,15,12,10,0,,,,,,,,,,,,,,,,,,,,ZGC54
14,13,15,26,25,19,13,13,23,19,15,15,12,18,14,16,23,17,23,19,13,11,19,19,17,12,11,14,10,10,15,18,21,15,18,21,22,15,16,22,16,21,14,14,17,12,15,16,10,12,17,17,15,12,0,,,,,,,,,,,,,,,,,,,ZGC55
14,13,15,26,25,19,13,13,23,19,15,15,12,18,14,16,23,17,23,19,13,11,19,19,17,12,11,14,10,10,15,18,21,15,18,21,22,15,16,22,16,21,14,14,17,12,15,16,10,12,17,17,15,12,0,0,,,,,,,,,,,,,,,,,,ZGC56
12,20,13,27,23,12,12,13,24,18,14,15,17,18,9,18,27,13,17,14,15,8,22,12,15,18,5,14,14,14,18,13,23,15,16,14,14,16,14,20,9,16,9,13,8,13,11,12,9,7,8,20,11,14,13,13,0,,,,,,,,,,,,,,,,,ZGC57
14,20,22,23,29,18,19,17,26,18,20,22,18,24,11,25,32,16,22,19,20,18,16,17,20,26,15,20,11,11,23,16,31,20,18,17,20,21,16,20,16,24,11,16,17,15,19,21,19,15,19,22,17,20,17,17,17,0,,,,,,,,,,,,,,,,ZGC58
13,19,13,26,25,11,15,11,22,14,11,16,12,21,7,14,20,15,20,20,16,11,17,15,15,18,13,15,11,11,14,12,18,10,18,12,21,5,17,15,18,23,17,15,17,13,11,18,12,13,13,13,14,16,15,15,14,17,0,,,,,,,,,,,,,,,ZGC59
7,12,12,26,24,23,9,10,21,12,10,21,22,15,14,16,26,7,17,21,12,15,24,18,17,22,14,13,16,16,20,13,19,15,13,13,18,21,15,14,14,19,17,11,17,17,16,22,14,14,17,10,16,9,15,15,16,19,15,0,,,,,,,,,,,,,,ZGC60
8,13,13,24,18,11,11,9,18,19,8,17,13,16,7,16,21,14,18,14,15,11,18,18,12,16,12,14,10,10,12,10,19,14,14,9,21,11,14,10,17,25,18,15,17,13,14,14,11,13,15,12,11,13,15,15,13,19,8,13,0,,,,,,,,,,,,,ZGC61
14,15,14,26,21,19,13,15,20,18,11,19,18,18,15,18,24,18,22,16,12,17,22,18,17,14,11,15,16,16,16,18,22,17,15,20,18,20,17,18,14,23,20,12,20,16,17,17,13,17,16,18,15,13,9,9,15,18,20,15,17,0,,,,,,,,,,,,ZGC62
12,16,12,25,26,19,11,10,22,15,11,17,16,17,12,12,23,13,19,22,17,9,22,16,18,16,10,13,12,12,13,15,18,12,16,18,18,17,16,19,17,20,13,11,12,16,11,16,9,11,15,14,16,12,6,6,11,21,12,11,13,13,0,,,,,,,,,,,ZGC63
14,19,10,28,22,19,12,12,19,16,14,19,17,14,13,15,26,14,23,16,14,11,23,11,11,13,14,13,15,15,13,15,25,9,18,19,22,18,13,15,15,23,15,9,15,10,13,18,7,10,8,12,11,12,8,8,13,17,15,13,16,13,11,0,,,,,,,,,,ZGC64
13,17,9,25,13,15,10,14,17,19,13,17,18,11,11,15,25,16,21,6,13,12,21,12,9,14,13,14,15,15,13,13,27,11,16,16,19,17,10,11,14,23,15,12,17,10,19,11,7,13,9,14,6,11,17,17,11,20,16,15,9,17,18,12,0,,,,,,,,,ZGC65
14,12,12,24,21,21,11,13,21,14,13,15,14,16,14,12,20,13,21,17,12,16,18,19,16,16,13,13,13,13,17,15,20,14,14,20,19,15,15,16,14,20,17,13,20,14,19,14,14,17,16,15,15,13,8,8,16,19,14,12,14,13,9,15,15,0,,,,,,,,ZGC66
20,20,24,30,29,27,19,22,25,24,23,24,19,23,13,20,29,21,26,25,20,21,23,26,21,22,16,20,15,15,21,24,21,24,18,24,22,18,20,27,15,26,15,18,18,20,20,25,20,21,26,19,21,17,12,12,20,14,19,20,22,17,16,20,26,15,0,,,,,,,ZGC67
12,15,12,31,21,23,10,14,18,20,15,19,18,15,16,13,25,15,22,17,11,18,24,20,12,15,15,16,13,13,15,14,20,16,17,17,27,16,11,14,18,26,22,11,22,13,20,22,12,19,18,8,12,11,12,12,20,20,14,11,13,15,14,11,14,11,17,0,,,,,,ZGC68
11,16,13,25,24,15,13,12,20,16,13,16,15,18,10,12,22,13,18,18,12,12,20,14,16,14,7,16,11,11,16,13,15,12,15,15,19,11,17,18,9,17,14,13,16,13,13,17,12,13,12,14,16,12,8,8,8,17,10,11,12,12,9,11,16,11,14,11,0,,,,,ZGC69
16,13,15,29,24,19,19,15,23,16,18,20,16,17,10,20,27,16,25,19,14,16,19,17,16,19,17,13,16,16,20,16,23,15,15,18,22,12,17,17,11,23,16,18,17,14,16,19,16,16,17,12,16,18,15,15,17,16,11,13,13,19,18,15,15,13,15,15,12,0,,,,ZGC70
13,16,12,23,25,22,14,12,22,6,12,21,19,17,16,19,26,10,20,20,17,15,18,14,17,22,19,11,21,21,20,14,24,13,20,15,20,19,16,12,19,25,22,15,19,19,14,20,16,13,14,14,17,13,20,20,19,22,14,8,16,19,16,15,18,15,28,18,16,13,0,,,ZGC71
14,22,11,31,18,18,10,16,12,20,13,21,15,19,10,17,25,19,20,10,18,13,23,15,11,17,17,11,16,16,11,14,25,14,21,12,21,16,8,12,21,30,19,13,14,15,13,17,8,14,13,14,7,10,18,18,14,19,13,19,10,19,17,13,9,20,24,13,17,18,18,0,,ZGC72
15,14,12,22,20,14,13,11,21,11,11,13,14,16,12,16,21,13,20,15,13,10,14,13,11,15,13,12,12,12,16,12,23,10,14,19,18,11,14,13,13,22,16,14,19,12,15,13,13,12,11,14,13,15,11,11,14,15,10,13,12,14,14,12,12,6,19,14,11,9,10,18,0,ZGC73
