1,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGC1,ZGC2,ZGC3,ZGC4,ZGC5,ZGC6,ZGC7,ZGC8,ZGC9,ZGC10,ZGC11,ZGC12,ZGC13,ZGC14,ZGC15,ZGC16,ZGC17,ZGC18,ZGC19,ZGC20,ZGC21,ZGC22,ZGC23,ZGC24,ZGC25,ZGC26,ZGC27,ZGC28,ZGC29,ZGC30,ZGC31,ZGC32,ZGC33,ZGC34,ZGC35,ZGC36,ZGC37,ZGC38,ZGC39,ZGC40,ZGC41,ZGC42,ZGC43,ZGC44,ZGC45,ZGC46,ZGC47,ZGC48,ZGC49,ZGC50,ZGC51,ZGC52,ZGC53,ZGC54,ZGC55,ZGC56,ZGC57,ZGC58,ZGC59,ZGC60,ZGC61,ZGC62,ZGC63,ZGC64,ZGC65,ZGC66,ZGC67,ZGC68,ZGC69,ZGC70,ZGC71,ZGC72,ZGC73,
57.559,54.023,43.873,35.693,36.878,42.450,45.122,49.729,49.729,52.173,57.271,57.271,57.271,24.093,10.689,10.770,18.682,27.203,30.871,30.871,27.042,27.042,20.180,15.945,15.945,15.945,9.014,6.021,6.021,4.610,4.610,1.581,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC33
52.405,48.900,39.258,31.325,29.568,34.860,37.713,42.086,42.086,44.780,49.862,49.862,49.862,20.860,8.944,4.031,11.543,19.602,22.611,22.611,18.358,18.358,11.336,7.211,7.211,7.211,11.045,10.794,10.794,11.853,11.853,10.259,8.846,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC34
58.694,55.177,45.379,37.336,36.056,41.304,44.181,48.508,48.508,51.245,56.321,56.321,56.321,26.353,13.200,10.198,18.028,26.077,28.862,28.862,24.233,24.233,16.771,12.093,12.093,12.093,13.314,11.236,11.236,10.548,10.548,7.517,6.000,6.500,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC35
65.192,61.664,51.364,43.186,45.354,50.961,53.600,58.241,58.241,60.638,65.734,65.734,65.734,31.396,18.527,19.313,27.203,35.735,39.395,39.395,35.415,35.415,28.306,23.817,23.817,23.817,15.628,12.093,12.093,9.124,9.124,7.649,8.544,17.066,12.042,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC36
71.063,67.546,57.190,49.041,51.662,57.280,59.908,64.560,64.560,66.940,72.035,72.035,72.035,37.230,24.683,25.632,33.526,42.059,45.695,45.695,41.620,41.620,34.398,29.820,29.820,29.820,21.500,18.007,18.007,15.008,15.008,13.946,14.866,23.265,17.804,6.325,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC37
60.671,57.136,47.009,38.833,39.623,45.122,47.854,52.393,52.393,54.918,60.017,60.017,60.017,27.252,13.829,13.342,21.378,29.833,33.242,33.242,29.090,29.090,21.915,17.414,17.414,17.414,12.093,8.902,8.902,6.801,6.801,3.536,3.162,10.735,5.831,6.403,12.530,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC38
71.063,67.546,57.722,49.649,48.010,53.038,56.009,60.133,60.133,63.032,68.066,68.066,68.066,38.462,25.045,22.561,30.265,38.013,40.200,40.200,35.018,35.018,27.372,22.699,22.699,22.699,24.005,20.934,20.934,18.742,18.742,15.572,15.000,18.742,12.369,12.649,14.142,12.042,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC39
61.685,58.194,48.634,40.719,38.053,43.012,46.000,50.090,50.090,53.009,58.034,58.034,58.034,30.121,17.328,13.416,20.616,28.071,30.150,30.150,25.005,25.005,17.357,12.659,12.659,12.659,17.755,15.692,15.692,14.807,14.807,11.597,10.198,9.394,4.472,14.318,19.209,9.055,10.050,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC40
61.685,58.194,48.634,40.719,38.053,43.012,46.000,50.090,50.090,53.009,58.034,58.034,58.034,30.121,17.328,13.416,20.616,28.071,30.150,30.150,25.005,25.005,17.357,12.659,12.659,12.659,17.755,15.692,15.692,14.807,14.807,11.597,10.198,9.394,4.472,14.318,19.209,9.055,10.050,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC41
64.670,61.190,51.709,43.832,40.697,45.511,48.541,52.510,52.510,55.509,60.500,60.500,60.500,33.310,20.518,16.560,23.564,30.761,32.515,32.515,27.166,27.166,19.558,15.000,15.000,15.000,20.809,18.561,18.561,17.393,17.393,14.080,12.816,12.530,7.500,15.403,19.474,11.102,8.078,3.202,3.202,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC42
64.257,60.815,51.609,43.909,39.623,44.181,47.265,51.039,51.039,54.148,59.076,59.076,59.076,33.892,21.708,17.029,23.259,29.833,31.064,31.064,25.500,25.500,18.062,13.829,13.829,13.829,22.589,20.718,20.718,19.906,19.906,16.688,15.297,13.086,9.487,18.682,22.825,14.000,10.817,5.099,5.099,3.354,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC43
67.720,64.222,54.588,46.615,44.102,49.000,52.010,56.036,56.036,59.000,64.008,64.008,64.008,35.773,22.611,19.313,26.683,34.132,36.056,36.056,30.761,30.761,23.135,18.527,18.527,18.527,22.277,19.602,19.602,17.923,17.923,14.577,13.601,15.338,9.434,14.000,17.088,11.180,4.472,6.083,6.083,3.640,6.403,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC44
