1,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTC1,LTC2,LTC3,LTC4,LTC5,LTC6,LTC7,LTC8,LTC9,LTC10,LTC11,LTC12,LTC13,LTC14,LTC15,LTC16,LTC17,LTC18,LTC19,LTC20,LTC21,LTC22,LTC23,LTC24,LTC25,LTC26,LTC27,LTC28,LTC29,LTC30,LTC31,LTC32,LTC33,LTC34,LTC35,LTC36,LTC37,LTC38,LTC39,LTC40,LTC41,LTC42,LTC43,LTC44,LTC45,LTC46,LTC47,LTC48,LTC49,LTC50,LTC51,LTC52,LTC53,LTC54,LTC55,LTC56,LTC57,LTC58,LTC59,LTC60,LTC61,LTC62,LTC63,LTC64,LTC65,
67.912,48.374,63.198,31.257,58.856,51.923,55.154,51.478,55.326,67.676,40.311,41.976,28.018,52.010,52.010,52.010,58.694,56.080,22.804,43.046,33.287,37.696,33.242,38.210,66.068,30.017,21.095,10.630,13.153,16.553,11.045,11.045,11.045,11.045,48.703,14.213,14.213,19.105,7.810,17.117,0.000,,,,,,,,,,,,,,,,,,,,,,,,,LTC41
77.130,57.559,72.339,40.447,68.066,61.131,64.257,60.539,64.498,76.844,49.396,51.196,37.121,61.008,61.008,61.008,67.912,65.008,32.016,52.154,42.059,46.819,42.379,47.381,75.007,38.910,29.967,19.235,22.361,23.345,16.401,16.401,16.401,16.401,57.871,11.180,11.180,23.707,16.553,20.248,9.220,0.000,,,,,,,,,,,,,,,,,,,,,,,,LTC42
62.201,44.283,59.304,27.893,54.009,46.098,48.052,44.147,51.245,61.000,33.377,37.054,26.000,49.477,49.477,49.477,53.085,53.852,18.682,40.025,25.000,31.145,27.019,34.713,63.561,22.361,14.000,5.657,12.728,5.000,3.000,3.000,3.000,3.000,42.297,15.133,15.133,8.246,6.325,8.485,11.705,18.385,0.000,,,,,,,,,,,,,,,,,,,,,,,LTC43
80.808,61.400,76.236,44.283,71.847,64.761,67.676,63.906,68.359,80.362,52.811,54.918,41.049,65.000,65.000,65.000,71.589,69.029,35.693,56.080,45.188,50.289,45.880,51.245,79.025,42.154,33.242,22.472,26.173,25.612,18.439,18.439,18.439,18.439,61.400,10.198,10.198,25.000,19.925,21.095,13.038,4.123,20.809,0.000,,,,,,,,,,,,,,,,,,,,,,LTC44
81.000,63.789,78.772,47.539,73.246,65.031,66.189,62.201,70.711,79.228,52.000,56.436,45.541,69.123,69.123,69.123,72.028,73.498,38.328,59.666,43.046,50.040,46.174,54.342,83.199,41.012,33.377,24.698,31.305,22.023,16.763,16.763,16.763,16.763,61.000,8.062,8.062,17.263,23.707,13.038,21.932,18.974,19.647,17.117,0.000,,,,,,,,,,,,,,,,,,,,,LTC45
81.000,63.789,78.772,47.539,73.246,65.031,66.189,62.201,70.711,79.228,52.000,56.436,45.541,69.123,69.123,69.123,72.028,73.498,38.328,59.666,43.046,50.040,46.174,54.342,83.199,41.012,33.377,24.698,31.305,22.023,16.763,16.763,16.763,16.763,61.000,8.062,8.062,17.263,23.707,13.038,21.932,18.974,19.647,17.117,0.000,0.000,,,,,,,,,,,,,,,,,,,,LTC46
81.000,63.789,78.772,47.539,73.246,65.031,66.189,62.201,70.711,79.228,52.000,56.436,45.541,69.123,69.123,69.123,72.028,73.498,38.328,59.666,43.046,50.040,46.174,54.342,83.199,41.012,33.377,24.698,31.305,22.023,16.763,16.763,16.763,16.763,61.000,8.062,8.062,17.263,23.707,13.038,21.932,18.974,19.647,17.117,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,LTC47
79.057,62.370,77.279,46.487,71.568,63.198,64.031,60.033,69.231,77.058,50.090,54.918,44.777,68.007,68.007,68.007,70.178,72.422,37.336,58.523,41.012,48.260,44.553,53.160,82.006,39.205,32.016,24.187,31.064,20.396,16.125,16.125,16.125,16.125,59.076,10.198,10.198,15.000,23.601,11.180,23.022,21.378,18.788,20.000,3.606,3.606,3.606,0.000,,,,,,,,,,,,,,,,,,LTC48
87.006,69.871,84.853,53.600,79.310,71.063,72.111,68.118,76.792,85.147,58.009,62.514,51.546,75.186,75.186,75.186,78.058,79.555,44.385,65.734,49.010,56.080,52.240,60.415,89.269,47.043,39.459,30.676,37.162,28.071,22.804,22.804,22.804,22.804,67.007,12.806,12.806,23.087,29.547,19.000,27.019,22.472,25.710,19.698,6.083,6.083,6.083,8.246,0.000,,,,,,,,,,,,,,,,,LTC49
87.006,69.871,84.853,53.600,79.310,71.063,72.111,68.118,76.792,85.147,58.009,62.514,51.546,75.186,75.186,75.186,78.058,79.555,44.385,65.734,49.010,56.080,52.240,60.415,89.269,47.043,39.459,30.676,37.162,28.071,22.804,22.804,22.804,22.804,67.007,12.806,12.806,23.087,29.547,19.000,27.019,22.472,25.710,19.698,6.083,6.083,6.083,8.246,0.000,0.000,,,,,,,,,,,,,,,,LTC50
