1,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTB1,LTB2,LTB3,LTB4,LTB5,LTB6,LTB7,LTB8,LTB9,LTB10,LTB11,LTB12,LTB13,LTB14,LTB15,LTB16,LTB17,LTB18,LTB19,LTB20,LTB21,LTB22,LTB23,LTB24,LTB25,LTB26,LTB27,LTB28,LTB29,LTB30,LTB31,LTB32,LTB33,LTB34,LTB35,LTB36,LTB37,LTB38,LTB39,LTB40,LTB41,LTB42,LTB43,LTB44,LTB45,LTB46,LTB47,LTB48,LTB49,LTB50,LTB51,LTB52,LTB53,LTB54,LTB55,LTB56,LTB57,LTB58,LTB59,LTB60,LTB61,LTB62,LTB63,LTB64,LTB65,LTB66,LTB67,
79.057,75.027,77.058,74.000,71.028,73.171,72.007,72.007,70.576,66.121,63.789,63.388,61.033,70.342,59.304,65.970,65.123,56.045,39.000,59.682,49.000,34.482,34.482,50.359,38.910,50.636,49.649,54.000,29.069,54.083,41.437,49.254,32.757,19.026,23.022,15.652,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB38
70.064,66.030,68.066,65.000,62.032,64.195,63.151,63.151,61.660,57.140,54.918,54.452,52.038,61.685,50.359,57.280,56.143,47.434,30.000,50.804,40.000,27.019,27.019,41.437,31.064,41.773,41.231,45.000,21.401,45.100,33.106,40.311,24.042,10.050,14.036,8.602,9.000,9.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB39
62.169,58.052,59.304,56.719,53.460,55.145,53.085,53.085,52.000,48.260,45.011,47.760,43.566,50.804,43.658,46.530,48.765,36.497,22.847,41.000,32.280,14.422,14.422,35.341,18.788,32.016,29.833,37.108,8.944,36.497,21.587,34.015,14.142,8.062,11.180,4.472,20.125,20.125,12.728,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB40
77.466,73.348,74.545,72.007,68.731,70.349,68.000,68.000,67.067,63.506,60.033,62.936,58.856,65.276,58.822,61.131,64.031,51.088,37.947,56.080,47.539,27.459,27.459,50.329,32.388,47.170,44.181,52.393,23.022,51.788,36.056,49.041,29.428,19.416,23.854,12.083,12.369,12.369,13.416,15.297,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB41
68.884,64.761,65.765,63.348,60.017,61.522,59.008,59.008,58.138,54.745,51.088,54.781,50.220,56.223,50.695,52.086,55.660,42.048,29.967,47.170,39.217,18.439,18.439,42.485,23.345,38.328,35.128,43.966,14.000,43.174,27.019,41.146,20.881,13.892,17.804,6.325,17.692,17.692,13.342,7.211,9.055,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,LTB42
35.014,31.064,33.734,30.265,27.659,30.364,31.385,31.385,29.069,23.409,23.601,19.235,18.028,32.558,15.133,28.284,21.000,21.471,6.403,19.849,6.403,25.239,25.239,6.325,22.847,13.416,20.224,10.770,24.759,12.207,18.682,5.099,16.279,25.495,21.213,31.953,44.181,44.181,35.228,29.069,44.011,36.235,0.000,,,,,,,,,,,,,,,,,,,,,,,,,LTB43
72.443,68.359,70.029,67.186,64.070,66.000,64.382,64.382,63.127,59.008,56.223,57.271,54.083,62.370,53.151,58.052,58.694,48.052,32.388,52.154,42.297,25.942,25.942,44.385,30.463,43.105,41.485,47.265,20.616,47.043,33.242,43.174,25.080,12.649,17.088,7.280,8.602,8.602,5.385,11.705,8.062,9.434,38.079,0.000,,,,,,,,,,,,,,,,,,,,,,,,LTB44
72.443,68.359,70.029,67.186,64.070,66.000,64.382,64.382,63.127,59.008,56.223,57.271,54.083,62.370,53.151,58.052,58.694,48.052,32.388,52.154,42.297,25.942,25.942,44.385,30.463,43.105,41.485,47.265,20.616,47.043,33.242,43.174,25.080,12.649,17.088,7.280,8.602,8.602,5.385,11.705,8.062,9.434,38.079,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,LTB45
72.443,68.359,70.029,67.186,64.070,66.000,64.382,64.382,63.127,59.008,56.223,57.271,54.083,62.370,53.151,58.052,58.694,48.052,32.388,52.154,42.297,25.942,25.942,44.385,30.463,43.105,41.485,47.265,20.616,47.043,33.242,43.174,25.080,12.649,17.088,7.280,8.602,8.602,5.385,11.705,8.062,9.434,38.079,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,LTB46
82.298,78.230,80.006,77.104,74.027,76.007,74.431,74.431,73.171,69.000,66.272,66.910,64.031,72.367,62.801,68.066,68.469,58.052,42.190,62.201,52.154,35.468,35.468,53.935,40.162,53.151,51.420,57.140,30.364,57.009,43.174,52.773,35.128,22.204,26.476,17.263,5.000,5.000,12.649,21.587,10.000,17.493,47.676,10.050,10.050,10.050,0.000,,,,,,,,,,,,,,,,,,,,,LTB47
69.181,65.276,67.897,64.498,61.814,64.327,64.195,64.195,62.362,57.271,55.973,53.009,51.971,63.561,49.041,59.093,55.145,49.649,30.083,51.865,39.812,32.016,32.016,40.050,35.355,43.081,44.102,44.721,26.401,45.354,36.401,39.115,26.627,12.728,14.765,15.524,12.806,12.806,8.062,18.788,21.190,21.095,34.234,13.342,13.342,13.342,17.692,0.000,,,,,,,,,,,,,,,,,,,,LTB48
96.104,91.984,93.059,90.609,87.298,88.814,86.145,86.145,85.376,82.037,78.313,81.609,77.466,83.006,77.492,79.006,82.710,69.029,56.613,74.431,66.219,45.000,45.000,68.949,50.000,65.620,62.008,71.063,41.195,70.406,54.083,67.676,48.052,37.577,42.048,30.676,22.672,22.672,29.411,33.956,18.682,27.295,62.626,25.060,25.060,25.060,17.692,35.355,0.000,,,,,,,,,,,,,,,,,,,LTB49
96.104,91.984,93.059,90.609,87.298,88.814,86.145,86.145,85.376,82.037,78.313,81.609,77.466,83.006,77.492,79.006,82.710,69.029,56.613,74.431,66.219,45.000,45.000,68.949,50.000,65.620,62.008,71.063,41.195,70.406,54.083,67.676,48.052,37.577,42.048,30.676,22.672,22.672,29.411,33.956,18.682,27.295,62.626,25.060,25.060,25.060,17.692,35.355,0.000,0.000,,,,,,,,,,,,,,,,,,LTB50
96.104,91.984,93.059,90.609,87.298,88.814,86.145,86.145,85.376,82.037,78.313,81.609,77.466,83.006,77.492,79.006,82.710,69.029,56.613,74.431,66.219,45.000,45.000,68.949,50.000,65.620,62.008,71.063,41.195,70.406,54.083,67.676,48.052,37.577,42.048,30.676,22.672,22.672,29.411,33.956,18.682,27.295,62.626,25.060,25.060,25.060,17.692,35.355,0.000,0.000,0.000,,,,,,,,,,,,,,,,,LTB51
89.051,84.929,85.988,83.546,80.231,81.743,79.101,79.101,78.313,74.967,71.253,74.632,70.406,76.026,70.520,72.000,75.690,62.008,49.649,67.365,59.203,38.013,38.013,62.032,43.012,58.549,55.000,64.031,34.132,63.348,47.043,60.745,41.000,30.887,35.355,23.770,17.889,17.889,23.345,26.926,11.705,20.224,55.714,18.601,18.601,18.601,13.000,30.000,7.071,7.071,7.071,0.000,,,,,,,,,,,,,,,,LTB52
83.187,79.076,80.399,77.782,74.545,76.236,74.007,74.007,73.027,69.354,66.008,68.411,64.630,71.344,64.288,67.186,69.635,57.140,43.417,62.032,53.151,33.541,33.541,55.660,38.471,53.085,50.249,58.052,29.069,57.559,42.107,54.406,35.228,24.166,28.636,17.464,11.402,11.402,16.279,21.095,6.083,15.133,49.336,11.662,11.662,11.662,7.000,23.022,13.416,13.416,13.416,7.071,0.000,,,,,,,,,,,,,,,LTB53
67.052,62.936,63.561,61.400,57.974,59.228,56.223,56.223,55.579,52.631,48.508,53.666,48.384,53.009,49.649,49.010,54.231,39.051,29.411,44.721,38.013,15.000,15.000,41.881,20.000,36.139,32.016,42.544,11.705,41.437,24.187,40.497,19.723,16.492,19.698,10.050,22.672,22.672,18.028,8.544,13.000,5.000,35.805,14.422,14.422,14.422,22.204,25.495,30.000,30.000,30.000,23.022,18.974,0.000,,,,,,,,,,,,,,LTB54
74.216,70.093,71.021,68.659,65.307,66.753,64.070,64.070,63.285,60.017,56.223,60.166,55.543,61.074,56.080,57.009,61.033,47.000,35.341,52.345,44.598,23.087,23.087,47.854,28.071,43.566,40.012,49.336,19.105,48.508,32.016,46.519,26.249,18.439,22.627,10.630,16.553,16.553,15.133,12.530,5.000,5.385,41.593,10.000,10.000,10.000,14.866,23.195,22.091,22.091,22.091,15.033,10.770,8.246,0.000,,,,,,,,,,,,,LTB55
93.215,89.107,90.449,87.824,84.593,86.284,84.000,84.000,83.054,79.404,76.026,78.339,74.673,81.222,74.216,77.104,79.624,67.067,53.367,72.062,63.151,43.290,43.290,65.521,48.260,63.127,60.133,68.066,39.013,67.602,52.038,64.288,45.277,33.838,38.275,27.459,17.692,17.692,25.060,31.145,16.000,25.020,59.203,21.190,21.190,21.190,12.806,30.480,5.385,5.385,5.385,6.403,10.050,28.443,20.224,0.000,,,,,,,,,,,,LTB56
