1,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Geographic Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGB1,ZGB2,ZGB3,ZGB4,ZGB5,ZGB6,ZGB7,ZGB8,ZGB9,ZGB10,ZGB11,ZGB12,ZGB13,ZGB14,ZGB15,ZGB16,ZGB17,ZGB18,ZGB19,ZGB20,ZGB21,ZGB22,ZGB23,ZGB24,ZGB25,ZGB26,ZGB27,ZGB28,ZGB29,ZGB30,ZGB31,ZGB32,ZGB33,ZGB34,ZGB35,ZGB36,ZGB37,ZGB38,ZGB39,ZGB40,ZGB41,ZGB42,ZGB43,ZGB44,ZGB45,ZGB46,ZGB47,ZGB48,ZGB49,ZGB50,ZGB51,ZGB52,ZGB53,
51.662,46.361,40.497,33.838,39.812,38.328,41.110,37.014,38.118,49.752,49.752,49.752,49.752,50.510,37.014,33.380,32.249,9.487,12.649,0.000,16.643,22.389,22.389,24.824,28.623,28.623,28.623,37.162,38.275,43.061,46.481,46.481,46.481,42.500,36.000,33.242,33.242,33.242,22.589,26.519,32.000,32.000,42.107,40.012,43.012,24.683,43.417,28.284,28.284,28.284,28.284,23.345,24.698,ZGB20
67.676,62.445,56.859,50.160,55.660,53.852,56.294,51.971,53.367,65.025,65.025,65.025,65.025,64.994,51.624,46.003,46.271,25.942,27.659,16.643,0.000,6.500,19.138,23.901,24.824,24.824,24.824,31.241,31.113,33.560,36.531,36.531,36.531,32.004,23.770,25.456,25.456,25.456,13.901,14.841,20.125,20.125,30.463,27.857,30.083,12.093,29.155,14.866,14.866,14.866,14.866,10.296,9.000,ZGB21
73.853,68.591,62.859,56.181,61.881,60.152,62.660,58.363,59.718,71.386,71.386,71.386,71.386,71.449,58.054,52.502,52.738,31.847,32.268,22.389,6.500,0.000,18.000,23.000,22.561,22.561,22.561,27.536,26.912,28.364,31.101,31.101,31.101,26.505,17.923,21.360,21.360,21.360,11.180,10.000,14.603,14.603,24.622,21.915,23.880,7.211,22.699,9.014,9.014,9.014,9.014,5.590,2.500,ZGB22
70.613,65.283,58.713,52.538,59.508,58.637,61.792,58.054,58.807,70.114,70.114,70.114,70.114,71.701,58.363,55.664,54.086,30.104,24.683,22.389,19.138,18.000,0.000,5.000,6.403,6.403,6.403,14.773,16.008,21.506,25.005,25.005,25.005,21.645,17.923,11.500,11.500,11.500,7.280,11.662,14.603,14.603,22.322,21.077,24.622,12.649,27.042,15.008,15.008,15.008,15.008,13.238,18.173,ZGB23
70.507,65.222,58.500,52.586,59.802,59.188,62.476,58.951,59.525,70.576,70.576,70.576,70.576,72.567,59.424,57.520,55.500,31.484,24.581,24.824,23.901,23.000,5.000,0.000,5.099,5.099,5.099,13.537,15.532,21.966,25.402,25.402,25.402,22.771,20.887,12.540,12.540,12.540,12.166,16.155,18.118,18.118,24.151,23.436,27.042,17.464,30.104,19.500,19.500,19.500,19.500,18.173,23.135,ZGB24
75.500,70.203,63.508,57.535,64.694,64.002,67.248,63.642,64.283,75.425,75.425,75.425,75.425,77.279,64.049,61.745,59.960,35.920,29.517,28.623,24.824,22.561,6.403,5.099,0.000,0.000,0.000,8.732,10.500,16.867,20.304,20.304,20.304,17.734,16.711,7.632,7.632,7.632,11.402,14.036,14.534,14.534,19.294,18.822,22.411,16.031,25.831,17.183,17.183,17.183,17.183,17.183,22.142,ZGB25
75.500,70.203,63.508,57.535,64.694,64.002,67.248,63.642,64.283,75.425,75.425,75.425,75.425,77.279,64.049,61.745,59.960,35.920,29.517,28.623,24.824,22.561,6.403,5.099,0.000,0.000,0.000,8.732,10.500,16.867,20.304,20.304,20.304,17.734,16.711,7.632,7.632,7.632,11.402,14.036,14.534,14.534,19.294,18.822,22.411,16.031,25.831,17.183,17.183,17.183,17.183,17.183,22.142,ZGB26
75.500,70.203,63.508,57.535,64.694,64.002,67.248,63.642,64.283,75.425,75.425,75.425,75.425,77.279,64.049,61.745,59.960,35.920,29.517,28.623,24.824,22.561,6.403,5.099,0.000,0.000,0.000,8.732,10.500,16.867,20.304,20.304,20.304,17.734,16.711,7.632,7.632,7.632,11.402,14.036,14.534,14.534,19.294,18.822,22.411,16.031,25.831,17.183,17.183,17.183,17.183,17.183,22.142,ZGB27
84.024,78.746,72.007,66.121,73.335,72.691,75.954,72.367,72.993,84.097,84.097,84.097,84.097,86.001,72.780,70.401,68.680,44.643,38.118,37.162,31.241,27.536,14.773,13.537,8.732,8.732,8.732,0.000,2.828,9.708,12.748,12.748,12.748,11.673,15.133,6.325,6.325,6.325,17.357,17.671,15.133,15.133,14.422,15.232,18.358,20.353,22.847,19.925,19.925,19.925,19.925,21.954,26.401,ZGB28
86.000,80.703,74.007,68.029,75.166,74.431,77.647,73.980,74.673,85.873,85.873,85.873,85.873,87.626,74.330,71.626,70.093,46.098,40.012,38.275,31.113,26.912,16.008,15.532,10.500,10.500,10.500,2.828,0.000,6.946,10.124,10.124,10.124,8.846,13.000,5.657,5.657,5.657,17.414,16.919,13.601,13.601,11.662,12.649,15.652,19.704,20.248,18.788,18.788,18.788,18.788,21.401,25.554,ZGB29
