Mantel Results for GGD (2) vs Phiptp,,,,
,,,,
X Matrix,GGD (2),,,
Y Matrix,Phiptp,,,
Data Title,,,,
,,,,
No. Samples,53,No. in Matrix,1378,
No. Permutations,99,,,
,,,,
SSx,SSy,SPxy,Rxy,P(rxy-rand >= rxy-data)
1194133.169,1194133.169,1194133.169,1.000,0.010
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
83.753,83.753,,9,32
95.107,95.107,,10,32
95.107,95.107,,11,32
95.107,95.107,,12,32
95.107,95.107,,13,32
96.573,96.573,,14,32
83.165,83.165,,15,32
79.795,79.795,,16,32
78.667,78.667,,17,32
54.886,54.886,,18,32
49.563,49.563,,19,32
46.481,46.481,,20,32
36.531,36.531,,21,32
31.101,31.101,,22,32
25.005,25.005,,23,32
25.402,25.402,,24,32
20.304,20.304,,25,32
20.304,20.304,,26,32
20.304,20.304,,27,32
12.748,12.748,,28,32
10.124,10.124,,29,32
3.500,3.500,,30,32
0.000,0.000,,31,32
95.564,95.564,,1,33
90.243,90.243,,2,33
83.621,83.621,,3,33
77.515,77.515,,4,33
84.513,84.513,,5,33
83.621,83.621,,6,33
86.744,86.744,,7,33
82.937,82.937,,8,33
83.753,83.753,,9,33
95.107,95.107,,10,33
95.107,95.107,,11,33
95.107,95.107,,12,33
95.107,95.107,,13,33
96.573,96.573,,14,33
83.165,83.165,,15,33
79.795,79.795,,16,33
78.667,78.667,,17,33
54.886,54.886,,18,33
49.563,49.563,,19,33
46.481,46.481,,20,33
36.531,36.531,,21,33
31.101,31.101,,22,33
25.005,25.005,,23,33
25.402,25.402,,24,33
20.304,20.304,,25,33
20.304,20.304,,26,33
20.304,20.304,,27,33
12.748,12.748,,28,33
10.124,10.124,,29,33
3.500,3.500,,30,33
0.000,0.000,,31,33
0.000,0.000,,32,33
92.229,92.229,,1,34
86.894,86.894,,2,34
80.351,80.351,,3,34
74.137,74.137,,4,34
81.014,81.014,,5,34
80.014,80.014,,6,34
83.074,83.074,,7,34
79.191,79.191,,8,34
80.077,80.077,,9,34
91.512,91.512,,10,34
91.512,91.512,,11,34
91.512,91.512,,12,34
91.512,91.512,,13,34
92.804,92.804,,14,34
79.355,79.355,,15,34
